"Alkuaika UTC","Lopetusaika UTC","Alkuaika UTC+03:00","Lopetusaika UTC+03:00","Tuulivoimatuotanto - reaaliaikatieto"
"2021-03-01 05:46:00","2021-03-01 05:46:00","2021-03-01 08:46:00","2021-03-01 08:46:00","2101.5"
"2021-03-01 05:49:00","2021-03-01 05:49:00","2021-03-01 08:49:00","2021-03-01 08:49:00","2103.0"
"2021-03-01 05:52:00","2021-03-01 05:52:00","2021-03-01 08:52:00","2021-03-01 08:52:00","2102.5"
"2021-03-01 05:55:00","2021-03-01 05:55:00","2021-03-01 08:55:00","2021-03-01 08:55:00","2103.5"
"2021-03-01 05:58:00","2021-03-01 05:58:00","2021-03-01 08:58:00","2021-03-01 08:58:00","2097.6"
"2021-03-01 06:01:00","2021-03-01 06:01:00","2021-03-01 09:01:00","2021-03-01 09:01:00","2094.0"
"2021-03-01 06:04:00","2021-03-01 06:04:00","2021-03-01 09:04:00","2021-03-01 09:04:00","2090.5"
"2021-03-01 06:07:00","2021-03-01 06:07:00","2021-03-01 09:07:00","2021-03-01 09:07:00","2081.0"
"2021-03-01 06:10:00","2021-03-01 06:10:00","2021-03-01 09:10:00","2021-03-01 09:10:00","2091.5"
"2021-03-01 06:13:00","2021-03-01 06:13:00","2021-03-01 09:13:00","2021-03-01 09:13:00","2095.0"
"2021-03-01 06:16:00","2021-03-01 06:16:00","2021-03-01 09:16:00","2021-03-01 09:16:00","2105.5"
"2021-03-01 06:19:00","2021-03-01 06:19:00","2021-03-01 09:19:00","2021-03-01 09:19:00","2105.0"
"2021-03-01 06:22:00","2021-03-01 06:22:00","2021-03-01 09:22:00","2021-03-01 09:22:00","2107.5"
"2021-03-01 06:25:00","2021-03-01 06:25:00","2021-03-01 09:25:00","2021-03-01 09:25:00","2113.5"
"2021-03-01 06:28:00","2021-03-01 06:28:00","2021-03-01 09:28:00","2021-03-01 09:28:00","2109.5"
"2021-03-01 06:31:00","2021-03-01 06:31:00","2021-03-01 09:31:00","2021-03-01 09:31:00","2109.0"
"2021-03-01 06:34:00","2021-03-01 06:34:00","2021-03-01 09:34:00","2021-03-01 09:34:00","2108.5"
"2021-03-01 06:37:00","2021-03-01 06:37:00","2021-03-01 09:37:00","2021-03-01 09:37:00","2095.5"
"2021-03-01 06:40:00","2021-03-01 06:40:00","2021-03-01 09:40:00","2021-03-01 09:40:00","2096.0"
"2021-03-01 06:43:00","2021-03-01 06:43:00","2021-03-01 09:43:00","2021-03-01 09:43:00","2084.0"
